t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z
5.1,2.03874204006458,1.9932792742901,1,0.989579299831453,0.101247560183024,-0.0553911591205109,0.0861020347806157,-0.889220482531691,0.172006559704647,3.86120520870514e-16,0.310053187971673,-0.0968180251595606,0.127748632623456,-0.929161329411249,-2.11570946990691,-3.31361500868413e-18,0,0,0
5.2,1.94510148833267,1.99935073277615,1,0.987260738426202,0.116374665854097,-0.0591280962329008,0.0909782377570064,-0.984282838259553,-0.0560361218745223,3.83806450818283e-16,0.293790243292234,-0.0878278245487477,0.132774135084527,-0.970665258432339,-2.44297981461433,-4.37002512079759e-17,0,0,0
5.3,1.84176221769765,1.98100981247533,1,0.984836387039378,0.130252969133558,-0.0624338778634029,0.0960909240774284,-1.08303619793383,-0.315891414599492,3.77239208136128e-16,0.263223175321616,-0.0742972844724867,0.13761809511021,-1.00264975899872,-2.74923774858218,-8.83198477613156e-17,0,0,0
5.4,1.72840602510461,1.93520839765922,1,0.982462205184344,0.142131922882761,-0.0651788790194761,0.101578765555252,-1.1844298164989,-0.60460750087941,3.66015130748576e-16,0.217829491892676,-0.055871675069629,0.142353027300361,-1.0231481565755,-3.01715954944088,-1.36755017607886e-16,0,0,0
5.5,1.60482949083019,1.85928299454743,1,0.98031766127267,0.151248892142818,-0.0672344648603293,0.107613114244493,-1.28722032733217,-0.917418688063704,3.49779690125834e-16,0.15765572071836,-0.0321578543548704,0.147088166821832,-1.03028710323052,-3.22792143925405,-1.88440863482106e-16,0,0,0
5.6,1.47096264962746,1.75114221591998,1,0.978583933377839,0.156850730278313,-0.0684633874491354,0.114385743538724,-1.38998480691247,-1.24763851350912,3.2824201988368e-16,0.083162358642303,-0.0025994505057944,0.15195863784221,-1.02236117603649,-3.36210193139446,-2.42670492678905e-16,0,0,0
5.7,1.3268859845228,1.60946005730123,1,0.977417500149954,0.158205401239386,-0.0687023061844238,0.12209043592453,-1.49114121910377,-1.58665450320665,3.01188574194242e-16,-0.00491380091039863,0.0336297317147699,0.157107998772998,-0.997905195905669,-3.40080543081453,-2.98606879871488e-16,0,0,0
5.8,1.17284502339022,1.43386377556035,1,0.976920620630436,0.154608057384166,-0.0677386965440295,0.130896594949811,-1.58897581122101,-1.9240441241666,2.68495296092417e-16,-0.105567733668338,0.077653400341556,0.162664180891969,-0.955760306865422,-3.32695097579956,-3.55300710862695e-16,0,0,0
5.9,1.00926188050238,1.2251035501481,1,0.977109302171191,0.145392550464276,-0.0652874705633102,0.140911192129889,-1.68167665465128,-2.24782458893804,2.30137732574544e-16,-0.217295600309233,0.130757368846961,0.168707802407849,-0.895130239723148,-3.1266452296837,-4.11713446414637e-16,0,0,0
6,0.836743182856286,0.985190280950656,1,0.977879703593639,0.129965528354781,-0.0609774301895341,0.152124947811199,-1.76737219637563,-2.54484005509125,1.8619862648444e-16,-0.337546290314217,0.193973691811082,0.175231347155941,-0.815624848633939,-2.79053946446724,-4.66744519053025e-16,0,0,0
6.1,0.656083947616167,0.717488046152443,1,0.978977426714615,0.10788421406165,-0.0543648565493035,0.164343106675953,-1.84417343863906,-2.80127910309947,1.36872636279446e-16,-0.461862724546843,0.267254097582535,0.182090175361042,-0.717288876199641,-2.31505918134546,-5.19261345792105e-16,0,0,0
6.2,0.468267123914959,0.426749017887624,1,0.979982176324342,0.078995539510452,-0.0449984253113287,0.177115161811626,-1.91021820780126,-3.00330410672922,8.24679733306258e-17,-0.582928343999493,0.348207575464246,0.18895520820605,-0.600614876588063,-1.70339414330894,-5.68130721853223e-16,0,0,0
6.3,0.274458669853685,0.119081020896806,1,0.980331066832463,0.0436333922645935,-0.0325555820834246,0.189703085261726,-1.96371591575939,-3.13776330159679,2.34048910247266e-17,-0.690097763829964,0.430757083607688,0.195294240927932,-0.466540207751335,-0.966146695569803,-6.12250156461015e-16,0,0,0
